"review.tm","Unnamed..0","drugName","condition","review","rating","date","usefulCount","score","positive","negative"
"heavy flow say least get horrible pms well cramping believe just normal almost makes pass times pill told start sunday period im bleeding heavy cramps worse",5358,"Cryselle","Birth Control","""I have a heavy flow to say the least. I get horrible PMS as well and cramping that I believe is just not normal. It almost makes me pass out at times, the pill told me to start it on the Sunday of my period  and I did. I&#039;m bleeding so heavy and the cramps are worse.""",3,"January 23, 2014",3,-3,1,4
"hi everyone ive reclipsen year now didnt think bad thought finally found birth control now changed loved pill really controlled periods cramps little cramps lighter periods period wouldnt start days taking sugar pills ive reading comments headaches can agree headaches every night werent bad still fall asleep changing different pill didnt like gained weight pill gained pounds least ive getting heavier really hard lose weight pill also time change",37858,"Reclipsen","Birth Control","""Hi everyone! I&#039;ve been on Reclipsen for over a year now and I didn&#039;t think it was that bad. I thought I had finally found my birth control but now I have changed. I loved this pill because it really controlled my periods and cramps. I had little cramps and lighter periods, but my period wouldn&#039;t start until 3 days after taking the sugar pills. I&#039;ve been reading other comments about headaches and I can agree that I have had headaches every other night but they weren&#039;t bad. I could still fall asleep. I am changing to a different pill because I didn&#039;t like how I gained weight on this pill. I gained 10 pounds at least, and I&#039;ve been getting heavier. It&#039;s really hard to lose the weight on this pill also. time for a change!""",6,"October 31, 2012",10,-2,5,7
"hours taking first pill felt slightly sick sleepy woke feeling took next pill three hours later nauseous sick stomach threw hours nausea finally felt little better third day didnt take already feeling emotional depressed mention still sick slightly week",43172,"Sronyx","Birth Control","""After a few hours of taking the first pill, I felt slightly sick and sleepy. I woke up feeling down and took the next pill, about three hours later I was nauseous and sick to my stomach. I threw up after the 5 hours of nausea and finally felt a little better. On the third day I didn&#039;t take it because I was already feeling emotional and depressed, not to mention still sick and slightly week.

A birth control pill has never affected me this way before.""",1,"March 15, 2013",6,-3,1,4
"im birth control since love much ive never noticed bad side effects gained weight thats probably ive gotten older recently just switched nuvaring horrible remembering take pill sexually active now",37822,"Reclipsen","Birth Control","""I&#039;m 19 and have been on this birth control since I was 16. I love it so much I&#039;ve never noticed any bad side effects. I have gained weight but that&#039;s probably because I&#039;ve gotten older. I recently just switched to the nuvaring because I am horrible at remembering to take the pill and am more sexually active now.""",9,"January 26, 2017",3,0,2,2
"im cryselle around years day periods generally pretty light manageable weight gain mood swings ive suffered acne since hit puberty recently realized skin completely clears placebo pill week really think hormones cryselle whats giving bad skin although really like everything else pill im switching another next week will hopefully improve skin",5373,"Cryselle","Birth Control","""I&#039;m 18 and have been on Cryselle for around 3 years. I have 3-4 day periods that are generally pretty light and manageable. No weight gain or mood swings, but I&#039;ve suffered from acne since I hit puberty and recently realized that my skin completely clears up during my placebo pill week. I really think that the hormones in Cryselle are what&#039;s been giving me such bad skin. Although I really like everything else about this pill, I&#039;m switching to another next week that will hopefully improve my skin.""",8,"February 24, 2017",6,4,6,2
"im diagnosed polycystic ovarian syndrome weeks ago basically getting period pediatrician recommended beyaz control hormone level things skeptical taking birth control side effects depression weight gain tend happy energetic person honestly scared lose surprised though beyaz hasnt changed mood havent gained weight overall feel fine except made tired work around though big deal acne beyaz controls amazingly far thank beyaz youre really helping future",6750,"Beyaz","Birth Control","""I&#039;m 16 and I was diagnosed with Polycystic Ovarian Syndrome about 2 weeks ago. I was basically not getting my period. My pediatrician recommended Beyaz to control my Hormone level and some other things. I was skeptical about taking Birth control because of side effects such as depression and weight gain. I tend to be a very happy and energetic person and honestly I was scared to lose that, I was VERY SURPRISED THOUGH, Beyaz hasn&#039;t changed my mood at all, I haven&#039;t gained weight and overall I feel fine! Except for its made me TIRED. I work around that though and its no big deal. As for acne, Beyaz controls it amazingly. So far THANK YOU BEYAZ! You&#039;re really helping my future.""",8,"April 20, 2013",29,4,10,6
"im just finishing second month pills crazy increase appetite first month evened now now ive experiencing breakthrough bleeding nine days really hope stops",43712,"LoSeasonique","Birth Control","""I&#039;m just finishing my second month of pills.  I had a crazy increase in appetite the first month, but it&#039;s evened out now.  But now I&#039;ve been experiencing breakthrough bleeding for about nine days.  I really hope it stops.""",5,"October 1, 2009",1,-1,1,2
"im rd pack far great ive tried orthotricyclen lo alesse past made feel super emotional like pmsing feel like normally taking reclipsen ive noticed ive dropped weight well polycystic ovarian syndrome may hormones getting regulated pill another thing ive noticed breasts grown bit larger now wearing d cup instead c breasts bit sore first weeks anymore far good",37860,"Reclipsen","Birth Control","""I&#039;m on my 3rd pack and so far it has been GREAT! I&#039;ve tried Ortho-Tricyclen Lo and Alesse in the past, and both made me feel super emotional and like I was PMSing.  I feel like I normally do while taking Reclipsen and I&#039;ve noticed that I&#039;ve dropped some weight as well.  I do have polycystic ovarian syndrome, so it may be because my hormones are getting regulated with the pill.  Another thing I&#039;ve noticed is that my breasts have grown a bit larger.  I am now wearing a D cup instead of a C.  My breasts were a bit sore the first 6 weeks, but not anymore.  But so far, so good!""",10,"May 28, 2012",18,4,6,2
"im second month beyaz already answered prayer ive suffered polycystic ovarian syndrome years birth control pills always aggravated symptoms since starting one ive seen much less facial hair skin clearing im losing weight ive first cycle migraines huge deal also fibromyalgia medicine seems helping well perhaps vitamin aspect hormones finally balancing hesitant first im glad gave shot thank bayer",6756,"Beyaz","Birth Control","""I&#039;m only on my second month but Beyaz is already an answered prayer! I&#039;ve suffered from polycystic ovarian syndrome for years and birth control pills have always aggravated some symptoms. Since starting this one I&#039;ve seen much less facial hair, my skin is clearing up, I&#039;m losing weight, and I&#039;ve had my first cycle with no migraines which is a huge deal for me. I also have fibromyalgia and this medicine seems to be helping with that as well, perhaps its the vitamin aspect or my hormones finally balancing some. I was very hesitant at first and I&#039;m so glad I gave it a shot! Thank you Bayer!""",10,"December 5, 2012",54,-1,4,5
"im still currently taking drug really side affects upset stomach dont eat take also makes touchy angry used never get raging mad ever since ive pill simplest things set go made even realizing happening",6390,"Ocella","Birth Control","""I&#039;m still currently taking this drug, and there have been really no side affects other than an upset stomach if I don&#039;t eat when I take it, and it also makes me very touchy and angry. I used to never get raging mad but ever since I&#039;ve been on the pill the simplest things set me off and I go made with out even realizing it&#039;s happening.""",8,"January 1, 2016",4,-4,1,5
"im taking loseasonique birth control pillsstill first pack im half way first pack months everything normal ive bleeding lightly say spotting just month now week month finish pack just ready spotting stop problems symptoms",43717,"LoSeasonique","Birth Control","""I&#039;m taking Loseasonique birth control pills...still on the first pack. I&#039;m half way through the first pack that is for 3 months. Everything is normal for me but I&#039;ve been bleeding lightly or should I say spotting for just about a month now. I have a week and a month before I finish with this pack. Just ready for the spotting to stop, but other than that I have no other problems or symptoms.""",5,"August 2, 2009",10,-2,1,3
"irregular periods years well horrible acne get period really bad cramps heavy since starting sronyx weeks ago happy sex drive way higher acne gotten much better boyfriend said sex feels better agree getting first period since starting pill week",43133,"Sronyx","Birth Control","""I have had the most irregular periods for years as well as horrible acne. When I would get my period I had really bad cramps and it was heavy. Since starting Sronyx 3 weeks ago I have been so happy and my sex drive is way higher. My acne has gotten much better and my boyfriend has said sex feels better (I agree) I should be getting my first period since starting the pill this week!""",10,"March 23, 2015",12,1,4,3
"ive beyaz since september switching depo shot love pill however get really bad cramps period comes sure body still adjusting shot",6677,"Beyaz","Birth Control","""I&#039;ve been on Beyaz since September 2013 after switching from the Depo Shot. I love the pill, however, I get really bad cramps when my period comes. Not sure if it&#039;s because my body is still adjusting to being off the shot or what.""",6,"April 13, 2014",8,0,1,1
"ive birth control little three years started taking painful periods probably gained pounds since started taking im also years older glad dont look like teenager anymore beginning took brown placebos stopped just go one pack next without taking havent period awhile ill mood swings sometimes bc love",131386,"Generess Fe","Birth Control","""I&#039;ve been on this birth control for a little over three years. I started taking it after painful periods. I probably have gained 15 pounds since I started taking it but I&#039;m also 3 years older and glad I don&#039;t look like a teenager anymore. In the beginning I took the brown placebos but I stopped and just go from one pack to the next without taking them so I haven&#039;t had a period for awhile. I&#039;ll have my mood swings sometimes but I had those before being on bc. Other than that I love it.""",10,"April 16, 2015",3,3,4,1
"ive birth control near months begin got wasnt awful experience mood swings first break bleeding longer consistent almost period weeks one week made severely irritable put nicely bleeding much sex drive also suffered recommend birth control anybody opinion awful",5309,"Cryselle","Birth Control","""I&#039;ve been on this birth control near 6 months. In the begin I got it wasn&#039;t awful I did experience mood swings at first and break through bleeding. The longer I have been on it the more consistent it&#039;s almost as if I have my period 3 weeks on and one week off. It has made me severely irritable to put it nicely and because I have been bleeding so much my sex drive has also suffered. I would not recommend this birth control to anybody. In my opinion it&#039;s awful.""",2,"January 27, 2016",1,-4,3,7
"ive birth control years every couple years end change even though worked year start bleeding time started taking sronyx months ago ive opted just stop together husband deployed since taking bleeding boobs hurt bad even wearing bra hurts im nauseous feel like im constantly running bathroom also bad acid reflux heart burn havent years reading reviews realized moody ive husband thank god everyone else also noticed want bad food time dont recommend",43092,"Sronyx","Birth Control","""I&#039;ve been on birth control for 7 years. Every couple of years I end up having to change it because even though it worked for a year I start bleeding all the time. I started taking sronyx about 2 months ago and I&#039;ve opted to just stop all together while my husband is deployed. Since taking this I have been bleeding, my boobs hurt so bad even wearing a bra hurts, and I&#039;m so nauseous I feel like I&#039;m constantly running to the bathroom. I also have very bad acid reflux and heart burn which I haven&#039;t had in about 4 years. And after reading some of the other reviews realized how moody I&#039;ve been. Not to my husband thank god but to everyone else. I have also noticed I want bad food all the time. I don&#039;t recommend.""",1,"December 21, 2015",2,-5,4,9
"ive cryselle years best birth control ever controlled period light never heavy sometimes light dont wear anything except liner ill start thursday late saturday spotting sunday id bleed two weeks straight side effects pill horrible everything starts two weeks severe breast tenderness uncontrollable mood swings nausea headaches slight stomach pains arent cramps can bare symptoms short periods cryselle pass",5379,"Cryselle","Birth Control","""I&#039;ve been on Cryselle for 3 years. It&#039;s the best birth control that ever has controlled my period. Light, never heavy, sometimes so light you don&#039;t have to wear anything except a liner. I&#039;ll start on Thursday be off by late Saturday with spotting on Sunday. Before, I&#039;d bleed for two weeks straight. But the side effects of this pill are horrible. Everything starts two weeks before, severe breast tenderness, uncontrollable mood swings, nausea, headaches, and slight stomach pains that aren&#039;t cramps. If you can bare all of the symptoms and have short periods then Cryselle is for you if not then you should pass.""",6,"November 27, 2016",2,-6,1,7
"ive generess fe now two years switching different birth control main reason im switching sex drive virtually nonexistent dr said generess levels super low estrogen dont get quothighsquot get bc pills without bc also covered insurance chewable ive paid mo fun free feel like gives uncontrollable breakouts also looked lack estrogen causes skin produce oil causes breakouts plus side havent period year",131383,"Generess Fe","Birth Control","""I&#039;ve been on Generess Fe now for over two years, and I am switching to a different birth control. The main reason I&#039;m switching is because my sex drive is virtually non-existent, and my Dr. said that is because the Generess levels you out (because it is super low in estrogen), so you don&#039;t get the &quot;highs&quot; you would get with some other BC pills or without BC. Also, it is not covered by most insurance because it is a chewable (I&#039;ve paid about $25/mo, which is not as fun as free). And I feel like it gives me uncontrollable breakouts -- I also looked into this and a lack of estrogen causes your skin to produce more oil, which causes breakouts. On the plus side, I haven&#039;t had a period in over a year!

Time to switch for me.""",7,"October 5, 2015",3,2,4,2
"ive generess fe several months now went alleviate pain small functional ovarian cyst first couple months totally forgot cyst past month slightly painful still great remedy functional cysts light periods every month think sex drive gone little isnt noticeable scare went antibiotics realized made birth control ineffective week ended well just aware interactions went junel made break get nauseous generess worked well",131398,"Generess Fe","Birth Control","""I&#039;ve been on Generess Fe for several months now. I went on it to alleviate pain from a small functional ovarian cyst and for the first couple months I totally forgot about the cyst, this past month has been slightly more painful but it still is a great remedy for functional cysts. I have very light periods, about every other month. I think my sex drive has gone down a little but it isn&#039;t that noticeable. I did have a scare when I went on some antibiotics that I realized made the birth control ineffective for the week, but it all ended well, so just be aware that there are some interactions. I went on this after being on Junel, which made me break out and get very nauseous. Generess has worked very well for me!""",9,"June 5, 2014",7,0,5,5
"ive gianvi months feel like crazy person emotions roof get random spurts horrible anger irritation first two months didnt notice much came breasts almost unbearably sore done nothing horrible heavy period painful cramps feel like im pmsing constantly just working hopefully others better experience cant wait switch something new",111814,"Gianvi","Birth Control","""I&#039;ve been on Gianvi for 3 months. I feel like a crazy person. My emotions are through the roof and I get random spurts of horrible anger and irritation. The first two months I didn&#039;t notice much, it all came at once. My breasts are almost unbearably sore, and it has done nothing for my horrible heavy period and painful cramps. I feel like I&#039;m PMSing constantly. It&#039;s just not working for me. Hopefully others have had a better experience than I. I can&#039;t wait to switch to something new.""",3,"April 8, 2015",4,-4,3,7
"ive loseasonique month one week take pill every day time havent missed day spotting two weeks started period ive period week half im staying just see gets better worth period every three months torture plus worst cramps life",43689,"LoSeasonique","Birth Control","""I&#039;ve been on LoSeasonique for about a month and one week. I take the pill every day at the same time. Haven&#039;t missed a day. I was spotting for two weeks, then I started my period. I&#039;ve been on my period for a week and a half. I&#039;m staying on it just to see if it gets better. But it is not worth only having your period every three months. This is torture. Plus I have the worst cramps of my life.""",1,"November 4, 2011",1,-1,2,3
"ive medication two months really like prefer loestron like people switched minastrin sucked big time depressed time terrible cystic acne worse migraine headaches ever imaginable since switched havent side effects thing recently happen skin became really sensitive sun broke rash now just load sunscreen overall im really happy birth control",5346,"Cryselle","Birth Control","""I&#039;ve been on this medication for about two months and I really like it! I prefer my loestron 24 like most people that were on it did and when I was switched to minastrin it sucked big time! Was depressed all the time had terrible cystic acne and had the worse migraine headaches ever imaginable! Since being switched I haven&#039;t had any of those side effects the only thing that recently happen was my skin became really sensitive to the sun and I broke out in a rash from it. So now I just load up on sunscreen. Overall I&#039;m really happy with this birth control.""",7,"June 15, 2015",0,-2,5,7
"ive months orsythia months obgyn switched reason since starting sronyx ive noticed acne gotten worse ive increased sex drive lost weight periods light short recommend",43135,"Sronyx","Birth Control","""I&#039;ve been on this for 3 months (before that, I was on Orsythia for 6 months, but my ob-gyn switched me over for some reason). Since starting Sronyx, I&#039;ve noticed my acne has gotten worse, but I&#039;ve had an increased sex drive, lost weight, and my periods are very light and short! I would recommend it.""",9,"February 8, 2015",12,-1,1,2
"ive never taken birth control im got try stop sudden breakouts ive beyaz days can see oily skin becoming noticeably less oily shine free throughout day im hoping will clear face completely long run now skin feels softer less oily seems clearing side feel tired im last week school taking finals regret waited finals want sleep feel little irritable usual manageable",6786,"Beyaz","Birth Control","""I&#039;ve never taken birth control before. I&#039;m 24 and I got on it to try to stop sudden breakouts, I&#039;ve been on Beyaz for only 6 days.. I can see my oily skin becoming noticeably less oily and shine free throughout the day, which I&#039;m hoping will clear my face completely in the long run. As of now, my skin feels softer, less oily and seems to be clearing up. On the down side, I feel very, very tired. I&#039;m on my last week of school taking finals and I regret not having waited until after finals because all I want to do is sleep. I do feel a little more irritable than usual but it&#039;s manageable.""",8,"December 13, 2011",4,2,5,3
"ive ocella months now decent looking new birth control im years old used several different pills including alesse loovral found allergic synthetic progesterone norgestrel alike virtually every birth control available switched ocella ocella done job far preventing pregnancy mood swings bad enough start taking welbutrin ive gained weight sex drive terrible mood changes huge sex drive decline reason will changing im also worried warnings yazocella yasmin high incidence strokes associated",6447,"Ocella","Birth Control","""I&#039;ve been on Ocella for about 8 months now, and its been decent but I am looking for a new birth control. I&#039;m 26 years old, and have used several different pills before including Alesse and  Lo-ovral. I found out I am allergic to synthetic progesterone (norgestrel and alike ) in virtually every birth control available, which is why I switched to Ocella. Ocella has done the job as far as preventing pregnancy, but I have had mood swings bad enough to start taking Welbutrin, I&#039;ve gained some weight, and MY SEX DRIVE IS TERRIBLE. The mood changes and the HUGE sex drive decline is the reason why I will be changing again. I&#039;m also worried about all of the warnings on Yaz/Ocella/ Yasmin and the high incidence of strokes associated.""",6,"January 9, 2010",3,-1,4,5
"ive ocella two months now two years ago time around im suffering terrible nausea mood changes lost weight pimples etcbut nausea ridiculous ive taking now around night can try sleep sometimes will wake ill sick hoping adjust soon otherwise really enjoy using",6458,"Ocella","Birth Control","""I&#039;ve been on Ocella for about two months now (and I was on it for about two years a while ago), but this time around I&#039;m suffering from terrible nausea.  No mood changes, lost some weight, no pimples, etc...but the nausea is ridiculous.  I&#039;ve been taking it now around 11 at night, so that I can try to sleep through it, but sometimes it will wake me up at 3 or 4, and I&#039;ll be so sick.  Hoping that I adjust to this soon, because otherwise I really enjoy using it!""",6,"November 20, 2014",2,-4,1,5
"ive pill exactly month now wanted share experience far thing stands depressionmoodiness everyone different body chemistry im assuming since already relatively moody anxious person though depressed person ocella heightens moodiness got especially bad right period lot crying reason feel better now period hoping continues problems report ill check back months anything noteworthy",6442,"Ocella","Birth Control","""I&#039;ve been on this pill for exactly 1 month now and I wanted to share my experience.
So far, the only thing that stands out is depression/moodiness. Everyone has a different body chemistry and I&#039;m assuming that since I am already a relatively moody and anxious person (though NOT a depressed person), Ocella heightens the moodiness. It got especially bad right before my period, I was doing a lot of crying for no reason. I feel better now, after my period, and hoping it continues. No other problems to report but I&#039;ll check back in a few months with anything noteworthy.""",5,"May 14, 2010",6,-2,3,5
"ive pill four months now used extremely heavy periods last longer month pill reduced period week imagine normal instead heavy since started pill ive extremely strange experiences stomach lot stomach problems lot worse im nauseous almost time now mornings worst experienced discomfort upper right abdomin mimicking gallstones infection went er idea unsure related medication definitely seems relation nausea acne weight gain ive reading",5282,"Cryselle","Birth Control","""I&#039;ve been on this pill for four months now. I used to have extremely heavy periods that could last longer than a month. This pill has reduced my period to a week and it&#039;s what I imagine is normal instead of heavy. Since I started this pill, I&#039;ve had extremely strange experiences with my stomach. I have a lot of stomach problems but this has been a lot worse. I&#039;m nauseous almost all the time now, with the mornings being the worst. I experienced discomfort in my upper right abdomin, mimicking gallstones or an infection. Went to the ER, they had no idea what it was. Unsure if this is related to this medication, but there definitely seems to be a relation between it and the nausea. No acne or weight gain from me, as I&#039;ve been reading about.""",5,"October 6, 2016",5,-5,2,7
"ive pill roughly months now first everything going great past month however ive horrible anxiety panic attacks irritability ever even recently ive nausea point im throwing periodically night anxiety bad many negative thoughts didnt motivation much anymore couldnt come explanation thought birth control im stopping immediately will seeing doctor soon switch pills hopefully",124750,"Tri-Previfem","Birth Control","""I&#039;ve been on this pill for roughly 6-7 months now and at first everything was going great. the past month or so however, I&#039;ve had the most horrible anxiety, panic attacks, and irritability ever. Even more recently I&#039;ve had nausea to the point where I&#039;m throwing up periodically through the night. My anxiety was so bad I was having so many negative thoughts and didn&#039;t have the motivation to do much anymore. I couldn&#039;t come up with any other explanation until I thought about my birth control. I&#039;m stopping immediately and will be seeing my doctor soon to switch pills hopefully!""",1,"June 27, 2016",1,-6,1,7
"ive pill weeks far spotting every single day breaking pimples face sign weight gain will keep yall updated progress birth control journey",43120,"Sronyx","Birth Control","""I&#039;ve been on the pill for about 2 weeks. So far I have been spotting every single day and have been breaking out with pimples on my face. No sign in weight gain. Will keep y&#039;all updated as I progress in my birth control journey.""",4,"March 18, 2017",3,1,2,1
"ive reclipsen month now first oral contraceptive love birth control used severe cystic acne stuff keeps skin clear another thing love reclipsen levels mood dont mood swings like used also ive noticed since switching ive quotmoodquot way gain pounds complaints thin weight filled body breasts much perkier larger plus also think made hair grow ive sudden growth hair done nothing different downside causes lightly bleed",37897,"Reclipsen","Birth Control","""I&#039;ve been on Reclipsen for about a month now. This is my first oral contraceptive. I love this birth control. I used to have SEVERE cystic acne but this stuff keeps my skin so clear. Another thing I love about Reclipsen is that is levels out my mood and I don&#039;t have mood swings like I used to. Also I&#039;ve noticed since switching I&#039;ve been in the &quot;mood&quot; way more. I did gain 5 pounds but no complaints here! I am very thin and the weight has filled out my body! My breasts are so much perkier and larger, which is a plus for me! I also think this made my hair grow. I&#039;ve had a sudden growth in my hair and I have done nothing different to it. Only downside is it causes me to lightly bleed.""",9,"March 30, 2014",21,1,5,4
"ive sronyx months now everybody different reaction different birth control pills sronyx perfect bloating weight gain breakouts mood swings period cramps previously debilitating ones several days month know exactly period will start end used irregular best pregnancy breasts got slightly bigger ached month half breakthrough bleeding first month pill two times ive missed pill take one day make nauseous things completely expected overall pill perfect",43152,"Sronyx","Birth Control","""I&#039;ve been on Sronyx for 4 months now. Everybody has a different reaction to different birth control pills but Sronyx is perfect for me. No bloating or weight gain, no breakouts, no mood swings, no period cramps at all (I previously had debilitating ones for several days out of the month), I know exactly when my period will start and end (used to be irregular), and best of all, no pregnancy! My breasts got slightly bigger and ached for about a month and a half, I did have breakthrough bleeding the first month I was on the pill, and the two times I&#039;ve missed a pill and had to take 2 in one day it did make me nauseous, but all those things are completely to be expected. Overall, this pill is perfect for me.""",9,"January 13, 2014",13,0,5,5
"ive taking pill month half now ive gotten periods within past couple weeks uncomfortable also ive emotional like girl said quotcry baby likequot mood swings crazy ive gained pounds baby free",131458,"Generess Fe","Birth Control","""I&#039;ve been taking this pill for about a month and a half now. I&#039;ve gotten 3 periods within these past couple of weeks! It&#039;s very uncomfortable. Also I&#039;ve been very emotional like the other girl said all &quot;cry baby like&quot;. My mood swings are crazy. I&#039;ve gained 5 pounds. But I am baby free.""",6,"July 17, 2013",4,1,3,2
"ive taking reclipsen little year great periods last wasnt taking bit heavier first months started taking lost pounds now back normal weight recommend anyone",37768,"Reclipsen","Birth Control","""I&#039;ve been taking Reclipsen for a little more than a year and it has been great! My periods last about the same as when I wasn&#039;t taking it (a bit heavier). The first few months I started taking it I lost about 10 pounds and now I am back to my normal weight. I would recommend it to anyone.""",10,"July 4, 2014",9,1,2,1
"ive taking sronyx weeks previously took generess years loved stopped insurance will cover new generic version caused irregular periods",43093,"Sronyx","Birth Control","""I&#039;ve been taking Sronyx for 2 weeks. Previously, I took Generess for 4 years. Loved it. Stopped because insurance will only cover the new generic version and it caused irregular periods for me.

The purpose for taking BC/Sronyx is to shorten and lighten my periods because of my anemia. So far, I have experienced the following side effects:

- Bloat/Weight gain (4 lbs)
- Moodiness/Irritability (severe)
- Acne (I&#039;ve NEVER had acne issues until now!)
- Chest/side neck pain
- Breast Swelling/Tenderness (for some reason my right breast hurts more often)
- Scalp/skin itchiness
- Trouble wearing contacts (dry eyes, mild burning sensation at times)

Overall: I do not recommend this BC. My body doesn&#039;t like it at all. Looking to switch immediately.""",2,"December 2, 2015",3,0,1,1
"ive taking two months now dont want say effective far job stop pregnancy concern light spotting periods doctor warned happen thought maybe making mind little bummed amp depressed now im thinking might medication im seeing similar reactions online hope will pass otherwise ill looking alternative",131419,"Generess Fe","Birth Control","""I&#039;ve been taking this for two months now and, I don&#039;t want to say it&#039;s not effective because so far it&#039;s doing it&#039;s job to stop pregnancy. My only concern is the light spotting between periods, but my doctor warned me that this would happen. I thought maybe I was making it up in my mind that I was a little bummed &amp; depressed, but now I&#039;m thinking it might be this medication because I&#039;m seeing similar reactions to this online. I hope this will pass otherwise I&#039;ll be looking for an alternative.""",8,"December 11, 2013",11,-2,1,3
"ive using cryselle three months now amazing used get horrible cramps often made nauseous resulted missing several days school just period since ive birth control period changed days days bleed much lighter mild cramps first couple weeks mood swings cravings food stopped first month downside will make feel nauseous take night breasts tender sore period",5362,"Cryselle","Birth Control","""I&#039;ve been using Cryselle for three months now and it has been amazing!!! I used to get horrible cramps that often made me nauseous and that resulted in me missing several days of school just because of my period. Since I&#039;ve been on this birth control, my period changed from 5 days to 3 days and I bleed much lighter with mild to no cramps. The first couple weeks I had some mood swings and cravings for food but it stopped after the first month. The only downside to it is it will make you feel nauseous if you take it at night and my breasts are very tender and sore during my period. But other than that A++!!!""",9,"August 20, 2017",1,-1,3,4
"ive using gianvi last years pills used make spot inbetween periods pill changed everything period regular now comes every month expected day always within hours way less cramping side effects lasts around days make sure get gianvi generic version effected differently awesome bc",111767,"Gianvi","Birth Control","""I&#039;ve been using Gianvi for the last 4 years.  Other pills used to make me spot inbetween periods.  This pill changed everything!  My period is so regular now comes every month on the expected day always within 3 hours of each other.  Way less cramping, no side effects, and it only lasts around 4 days.  Make sure you get Gianvi and not a generic version as they effected me differently.  Awesome BC!""",10,"January 6, 2016",1,0,1,1
"ive yaz awhile problems months ago switched beyaz noticed weight gain switched weight gain bad birth control",6827,"Beyaz","Birth Control","""I&#039;ve been on Yaz for awhile and had no problems and a few months ago I switched to BeYaz and noticed a weight gain so I switched. Other than the weight gain it&#039;s not a bad birth control.""",8,"March 7, 2011",6,0,2,2
"ive years say best one ive pros dramatic reduction pain cramps",43618,"LoSeasonique","Birth Control","""I&#039;ve been on this for over 3 years and I would say its the best one I&#039;ve been on. 
Pros:
Dramatic reduction in pain from cramps. 

Con&#039;s: 
Nauseous on the first pack
Spotting during the first few packs
After 3 years, I get about 2 hours of spotting as my &#039;period&#039;. Kind of unnerving when your sexually active. 

To me, the pro makes the con&#039;s worth it because my cramping was so bad it made me vomit from pain.  100% worth it to me.""",7,"February 21, 2015",1,1,2,1
"ive years works havent gotten pregnant first months horrible nausea vomiting first weeks pack take pill night waking first weeks pack horrible doctor warned feeling morning sickness nausea subsided months still occasionally get nausea missed dose take day periods days light always get third day taking placebo pills months get cramps theyre painful get pms one week period ive noticed get really depressed emotional get chin acne ive gotten used im okay",5363,"Cryselle","Birth Control","""I&#039;ve been on it for about 3 years, it works as I haven&#039;t gotten pregnant. My first 3 months were horrible with nausea and vomiting on the first 2 weeks of the pack. I take my pill at night so waking up on the first weeks of the pack was horrible. My doctor warned me of feeling &#039;morning sickness&#039; but the nausea subsided after the 3 months. I still occasionally get some nausea but it&#039;s only if I missed a dose and had to take 2 on the same day. My periods are about 3 days and light. I always get it by the third day of taking the placebo pills.  Some months I get cramps but they&#039;re not painful. I get  PMS one week before my period, and I&#039;ve noticed I get really depressed, emotional And get chin acne. I&#039;ve gotten used to it so I&#039;m okay with it.""",9,"July 7, 2017",3,-7,1,8
"just finished second month gianvi will last cons constant bleeding gained weight horrible headaches mood swings make feel crazy pro pregnancy ontime period went b c cup change skin",111762,"Gianvi","Birth Control","""I just finished my second month of Gianvi and it will be my last. CONS: Constant bleeding, gained weight, horrible headaches, and mood swings that make me feel crazy. PRO: No pregnancy, on-time period, went from a B to a C cup, no change in skin.""",4,"April 19, 2016",4,-4,1,5
"just recently finished first pack ocella dont many things complain except cramps period deadly amp uncomfortable period heavy also im regulate period havent gained weight ive noticing pimples popping ive never problem im sure hormones arent used yet acne sucks amp breast tender also overall pretty good birth control method",6295,"Ocella","Birth Control","""I just recently finished my first pack of Ocella and I don&#039;t have many things to complain about except the cramps during my period!!! They were deadly &amp; so uncomfortable. My period was heavy also. But I&#039;m on it to regulate my period. I haven&#039;t gained any weight but I&#039;ve been noticing pimples popping up and I&#039;ve never had this problem before I&#039;m not sure if my hormones aren&#039;t used to it yet but the acne sucks &amp; my breast have been tender also. But overall it&#039;s a pretty good birth control method.""",7,"August 28, 2016",0,-1,4,5
"just recently started taking gianvi week now already feel side effects im sleep feel nauseous mornings got first headache little cramps lower abdomen dont really lot bad things say gianvi since just started week ago im hoping side effects will go away soon",111897,"Gianvi","Birth Control","""I just recently started taking Gianvi for about a week now and I already feel some of the side effects. I&#039;m in and out of sleep and feel nauseous in the mornings. I got my first headache and have little cramps in my lower abdomen. I don&#039;t really have a lot of bad things to say about Gianvi since I just started a week ago but I&#039;m hoping these side effects will go away soon. """,4,"September 21, 2011",2,-2,0,2
